TransactionID,ProductName,BrandType,Color,City,SaleDate,UnitsSold,UnitPrice,SupplierName,StockAvailable,BrandName,MachineType
42,QuickPot,Auto-Brew,White,Mumbai,07-04-2023,5,16392.89,BeanWorld India,269,QuickPot,Commercial Espresso Machines
43,AutoDrip,Auto-Brew,White,DELHI,26-05-2025,7,36135.96,BrewSupply Pvt Ltd,224,AutoDrip,At Home Espresso Machines
44,Cafe A-100 Automatic,App Connectivity,Black,Hyderabad,11-02-2023,16,7878.28,BeanWorld India,220,Cafe,At Home Coffee Makers
45,Smart Brew 300,Auto-Brew,White,Delhi,13-08-2024,1,6150.64,Contoso Distributors,157,Smart Brew,Commercial Coffee Makers
46,Crema Café,App Connectivity,Silver,Mumbai,25-11-2024,15,12556.3,BeanWorld India,231,Crema,At Home Espresso Machines
47,Smart Brew 300,Auto-Brew,Black,Pune,19-11-2025,0,8647.6,BeanWorld India,414,Smart Brew,Commercial Espresso Machines
48,Airpot XL,Auto-Brew,Red,Pune,20-05-2024,10,29708.82,BeanWorld India,271,Airpot,Commercial Coffee Makers
49,Travel Brew 100,Auto-Brew,Black,Hyderabad,21-05-2023,1,12354.76,,224,Travel Brew,Commercial Espresso Machines
50,Crema Café,App Connectivity,Red,Bangalore,27-11-2025,17,28589.68,Contoso Distributors,453,Crema,Commercial Coffee Makers
51,Airpot XL,Auto-Brew,White,Delhi,18-04-2024,2,11230.47,Contoso Distributors,466,Airpot,At Home Coffee Makers
52,Smart Brew 300,Auto-Brew,Silver,Delhi,29-03-2025,20,37598.29,,122,Smart Brew,At Home Coffee Makers
53,AutoDrip,Auto-Brew,White,Delhi,08-10-2024,6,44927.96,,53,AutoDrip,Commercial Coffee Makers
54,Cafe S-200 Semi-Automatic,App Connectivity,Green,Mumbai,16-08-2025,-1,47681.79,CoffeeTech Supplies,266,Cafe,At Home Espresso Machines
55,Cafe A-100 Automatic,App Connectivity,Red,DELHI,11-03-2024,9,33385.22,Contoso Distributors,288,Cafe,Commercial Coffee Makers
56,Cafe S-200 Semi-Automatic,App Connectivity,Green,Delhi,01-12-2023,-4,6247.18,,239,Cafe,Commercial Coffee Makers
57,Crema Café,App Connectivity,Black,delhi,06-11-2023,4,39471.59,BrewSupply Pvt Ltd,369,Crema,Commercial Espresso Machines
58,QuickPot,Auto-Brew,Red,DELHI,23-03-2025,-3,7164.06,BeanWorld India,71,QuickPot,At Home Coffee Makers
59,Precision Brew 100,Auto-Brew,Black,Hyderabad,25-03-2023,19,29403.24,Aroma Imports,408,Precision Brew,At Home Espresso Machines
60,Smart Brew 300,Auto-Brew,Blue,Hyderabad,28-04-2024,-1,32873.34,BrewSupply Pvt Ltd,430,Smart Brew,At Home Espresso Machines
61,Cafe S-200 Semi-Automatic,App Connectivity,Red,Pune,11-08-2024,3,8004.33,CoffeeTech Supplies,123,Cafe,Commercial Coffee Makers
62,Precision Brew 100,Auto-Brew,White,Delhi,01-11-2025,14,33609.31,CoffeeTech Supplies,340,Precision Brew,Commercial Espresso Machines
63,Precision Brew 100,Auto-Brew,Black,Pune,03-01-2025,1,43399.68,,308,Precision Brew,At Home Espresso Machines
64,QuickPot,Auto-Brew,Black,DELHI,07-03-2024,-2,22964.83,Contoso Distributors,339,QuickPot,At Home Espresso Machines
65,Barista Lite,App Connectivity,White,Bangalore,07-07-2025,-5,15329.2,CoffeeTech Supplies,1,Barista,Commercial Coffee Makers
66,Precision Brew 100,Auto-Brew,Black,DELHI,28-04-2024,16,38843.0,BeanWorld India,295,Precision Brew,Commercial Espresso Machines
67,Airpot XL,Auto-Brew,Blue,Delhi,03-07-2023,-1,23523.4,Contoso Distributors,252,Airpot,Commercial Coffee Makers
68,Smart Brew 300,Auto-Brew,Blue,delhi,15-12-2023,20,41487.42,BrewSupply Pvt Ltd,110,Smart Brew,Commercial Espresso Machines
69,Barista Lite,App Connectivity,Green,delhi,29-01-2024,4,41699.48,,121,Barista,Commercial Espresso Machines
70,Precision Brew 100,Auto-Brew,Green,DELHI,07-07-2023,5,43214.04,Contoso Distributors,258,Precision Brew,At Home Espresso Machines
71,Precision Brew 100,Auto-Brew,Silver,Bangalore,20-09-2025,18,46357.73,BrewSupply Pvt Ltd,218,Precision Brew,At Home Espresso Machines
72,Smart Brew 300,Auto-Brew,Silver,Mumbai,01-12-2023,6,31841.04,,348,Smart Brew,Commercial Espresso Machines
73,QuickPot,Auto-Brew,Green,Bangalore,05-09-2024,2,15501.93,Aroma Imports,326,QuickPot,At Home Coffee Makers
74,Airpot XL,Auto-Brew,Silver,delhi,02-01-2025,18,45814.68,Aroma Imports,224,Airpot,At Home Coffee Makers
75,Cafe A-100 Automatic,App Connectivity,Blue,Delhi,19-11-2025,-1,20197.39,Aroma Imports,61,Cafe,Commercial Espresso Machines
76,Crema Café,App Connectivity,Blue,delhi,02-01-2024,3,25187.73,BeanWorld India,47,Crema,Commercial Espresso Machines
77,Smart Brew 300,Auto-Brew,Blue,delhi,18-09-2024,12,20412.44,Contoso Distributors,127,Smart Brew,Commercial Espresso Machines
78,QuickPot,Auto-Brew,Blue,Pune,20-04-2023,10,28022.67,CoffeeTech Supplies,389,QuickPot,At Home Espresso Machines
79,Precision Brew 100,Auto-Brew,White,Delhi,04-12-2025,3,22471.66,BrewSupply Pvt Ltd,451,Precision Brew,At Home Coffee Makers
80,QuickPot,Auto-Brew,Red,Hyderabad,16-04-2024,-4,32122.89,BrewSupply Pvt Ltd,186,QuickPot,At Home Espresso Machines
81,Travel Brew 100,Auto-Brew,White,Bangalore,01-05-2023,20,11480.53,BrewSupply Pvt Ltd,15,Travel Brew,Commercial Espresso Machines
82,Travel Brew 100,Auto-Brew,Black,delhi,20-08-2025,7,20454.63,CoffeeTech Supplies,258,Travel Brew,At Home Espresso Machines
83,Barista Lite,App Connectivity,Green,Delhi,08-05-2025,8,14305.37,BrewSupply Pvt Ltd,212,Barista,At Home Espresso Machines
84,Cafe A-100 Automatic,App Connectivity,Green,DELHI,03-04-2025,8,41633.15,Aroma Imports,283,Cafe,At Home Coffee Makers
85,Cafe S-200 Semi-Automatic,App Connectivity,Silver,Hyderabad,06-03-2023,8,24620.97,CoffeeTech Supplies,344,Cafe,Commercial Espresso Machines
86,Barista Lite,App Connectivity,Blue,delhi,06-01-2024,13,13229.21,CoffeeTech Supplies,448,Barista,At Home Coffee Makers
87,Precision Brew 100,Auto-Brew,Blue,Delhi,16-08-2024,10,43948.74,Contoso Distributors,373,Precision Brew,At Home Coffee Makers
88,Cafe A-100 Automatic,App Connectivity,White,DELHI,22-11-2023,-3,11474.87,BeanWorld India,456,Cafe,At Home Coffee Makers
89,Travel Brew 100,Auto-Brew,White,Mumbai,31-01-2024,5,40186.82,Aroma Imports,284,Travel Brew,Commercial Coffee Makers
90,Smart Brew 300,Auto-Brew,Red,Hyderabad,22-04-2024,5,46073.98,,75,Smart Brew,Commercial Coffee Makers
91,Crema Café,App Connectivity,Silver,Bangalore,14-09-2023,-2,6044.0,,150,Crema,At Home Espresso Machines
92,AutoDrip,Auto-Brew,Blue,delhi,19-06-2024,-2,8850.36,Aroma Imports,163,AutoDrip,Commercial Espresso Machines
93,AutoDrip,Auto-Brew,White,Pune,15-11-2023,3,15648.36,BeanWorld India,116,AutoDrip,Commercial Espresso Machines
94,Precision Brew 100,Auto-Brew,Green,Pune,12-02-2024,-1,29206.16,Aroma Imports,197,Precision Brew,At Home Coffee Makers
95,AutoDrip,Auto-Brew,Silver,delhi,05-12-2024,3,40726.26,Contoso Distributors,287,AutoDrip,At Home Espresso Machines
96,Barista Lite,App Connectivity,Blue,Bangalore,16-07-2024,1,44387.24,CoffeeTech Supplies,87,Barista,Commercial Espresso Machines
97,AutoDrip,Auto-Brew,Blue,delhi,06-09-2024,6,28564.61,Contoso Distributors,236,AutoDrip,At Home Espresso Machines
98,Smart Brew 300,Auto-Brew,Blue,delhi,18-06-2024,4,23298.65,,18,Smart Brew,At Home Coffee Makers
99,Cafe S-200 Semi-Automatic,App Connectivity,Black,Delhi,13-07-2025,-5,34997.91,Aroma Imports,266,Cafe,At Home Espresso Machines
100,Cafe A-100 Automatic,App Connectivity,Red,Delhi,01-08-2024,4,7003.38,,335,Cafe,Commercial Coffee Makers
101,AutoDrip,Auto-Brew,Black,Hyderabad,10-07-2024,-4,30799.34,BrewSupply Pvt Ltd,260,AutoDrip,At Home Espresso Machines
102,Smart Brew 300,Auto-Brew,Green,delhi,19-07-2023,4,9985.69,BeanWorld India,343,Smart Brew,At Home Espresso Machines
103,Smart Brew 300,Auto-Brew,White,delhi,12-04-2024,3,37410.71,Aroma Imports,331,Smart Brew,Commercial Coffee Makers
104,Airpot XL,Auto-Brew,Red,Pune,26-02-2023,2,19461.23,Contoso Distributors,286,Airpot,Commercial Espresso Machines
105,Barista Lite,App Connectivity,Red,delhi,15-10-2025,3,14612.91,Aroma Imports,109,Barista,Commercial Espresso Machines
106,QuickPot,Auto-Brew,White,Bangalore,15-06-2024,20,38485.0,,176,QuickPot,Commercial Coffee Makers
107,Smart Brew 300,Auto-Brew,Silver,DELHI,07-11-2024,10,22894.84,Contoso Distributors,215,Smart Brew,At Home Coffee Makers
108,AutoDrip,Auto-Brew,White,DELHI,02-10-2023,9,20985.63,Aroma Imports,361,AutoDrip,Commercial Coffee Makers
109,Crema Café,App Connectivity,Silver,Pune,11-01-2024,10,8938.53,,193,Crema,Commercial Coffee Makers
110,Cafe S-200 Semi-Automatic,App Connectivity,White,Delhi,23-04-2025,-1,34190.46,BrewSupply Pvt Ltd,368,Cafe,Commercial Coffee Makers
111,Cafe A-100 Automatic,App Connectivity,Blue,Bangalore,18-09-2023,16,31275.19,Aroma Imports,167,Cafe,Commercial Coffee Makers
112,QuickPot,Auto-Brew,Black,DELHI,16-11-2025,0,49304.26,BeanWorld India,376,QuickPot,At Home Espresso Machines
113,Airpot XL,Auto-Brew,Silver,DELHI,03-06-2023,3,13819.96,Aroma Imports,243,Airpot,Commercial Coffee Makers
114,Crema Café,App Connectivity,Red,delhi,26-06-2025,1,11418.21,Contoso Distributors,384,Crema,Commercial Coffee Makers
115,QuickPot,Auto-Brew,Green,Pune,08-05-2023,13,37425.92,BrewSupply Pvt Ltd,484,QuickPot,At Home Espresso Machines
116,Airpot XL,Auto-Brew,White,Delhi,11-09-2025,-3,44269.93,,7,Airpot,Commercial Coffee Makers
117,Airpot XL,Auto-Brew,Silver,DELHI,27-05-2025,18,25428.24,,307,Airpot,Commercial Espresso Machines
118,AutoDrip,Auto-Brew,Red,delhi,29-01-2025,-2,28947.01,Aroma Imports,31,AutoDrip,Commercial Coffee Makers
119,Crema Café,App Connectivity,Black,Bangalore,30-01-2024,-4,6047.27,BrewSupply Pvt Ltd,71,Crema,Commercial Espresso Machines
120,Precision Brew 100,Auto-Brew,Red,delhi,04-03-2023,17,23042.68,,138,Precision Brew,Commercial Espresso Machines
121,QuickPot,Auto-Brew,Blue,Delhi,02-02-2023,0,31502.52,CoffeeTech Supplies,140,QuickPot,Commercial Espresso Machines
122,Smart Brew 300,Auto-Brew,White,Mumbai,05-05-2023,1,10574.18,CoffeeTech Supplies,50,Smart Brew,Commercial Espresso Machines
123,Cafe S-200 Semi-Automatic,App Connectivity,Blue,Hyderabad,21-03-2024,16,10035.08,,286,Cafe,Commercial Coffee Makers
124,Smart Brew 300,Auto-Brew,Black,delhi,26-06-2024,1,23101.48,BeanWorld India,166,Smart Brew,Commercial Coffee Makers
125,Cafe S-200 Semi-Automatic,App Connectivity,Green,Delhi,14-04-2025,0,23432.9,CoffeeTech Supplies,283,Cafe,Commercial Espresso Machines
126,AutoDrip,Auto-Brew,Red,Mumbai,30-01-2025,3,45889.58,,311,AutoDrip,Commercial Espresso Machines
127,AutoDrip,Auto-Brew,Red,Delhi,02-03-2024,4,34526.39,BrewSupply Pvt Ltd,34,AutoDrip,At Home Espresso Machines
128,Travel Brew 100,Auto-Brew,White,Bangalore,14-09-2025,1,10410.4,Contoso Distributors,309,Travel Brew,Commercial Coffee Makers
129,Crema Café,App Connectivity,White,Bangalore,13-12-2023,2,6666.28,Aroma Imports,135,Crema,At Home Espresso Machines
130,Travel Brew 100,Auto-Brew,Blue,delhi,09-02-2025,20,26975.41,,476,Travel Brew,At Home Espresso Machines
131,Smart Brew 300,Auto-Brew,Blue,Mumbai,25-09-2024,4,30245.71,BrewSupply Pvt Ltd,56,Smart Brew,Commercial Espresso Machines
132,Barista Lite,App Connectivity,Black,DELHI,24-11-2025,6,21179.43,Aroma Imports,470,Barista,At Home Coffee Makers
133,Barista Lite,App Connectivity,Blue,DELHI,24-01-2024,2,8890.53,Aroma Imports,31,Barista,At Home Espresso Machines
134,Precision Brew 100,Auto-Brew,Green,Bangalore,10-10-2024,2,24949.03,CoffeeTech Supplies,397,Precision Brew,At Home Espresso Machines
135,Crema Café,App Connectivity,Red,Bangalore,14-12-2024,12,5943.39,,257,Crema,At Home Espresso Machines
136,Precision Brew 100,Auto-Brew,Green,DELHI,14-12-2023,4,10015.63,Aroma Imports,239,Precision Brew,At Home Coffee Makers
137,Travel Brew 100,Auto-Brew,White,Hyderabad,15-06-2025,11,24908.1,Contoso Distributors,256,Travel Brew,Commercial Espresso Machines
138,Airpot XL,Auto-Brew,Blue,Bangalore,13-11-2024,2,23287.94,Aroma Imports,475,Airpot,Commercial Coffee Makers
139,AutoDrip,Auto-Brew,Silver,Hyderabad,04-03-2025,3,23271.28,CoffeeTech Supplies,357,AutoDrip,Commercial Coffee Makers
140,QuickPot,Auto-Brew,Silver,Bangalore,06-11-2024,-2,37213.77,BrewSupply Pvt Ltd,299,QuickPot,Commercial Espresso Machines
141,Barista Lite,App Connectivity,Black,delhi,27-03-2024,2,28089.31,BrewSupply Pvt Ltd,139,Barista,Commercial Espresso Machines
142,Cafe A-100 Automatic,App Connectivity,Green,delhi,18-04-2023,6,33417.94,,461,Cafe,Commercial Espresso Machines
143,Barista Lite,App Connectivity,White,Bangalore,19-07-2024,4,25942.61,Contoso Distributors,485,Barista,At Home Coffee Makers
144,Crema Café,App Connectivity,Red,Pune,05-04-2023,9,35275.73,Contoso Distributors,368,Crema,At Home Espresso Machines
145,Crema Café,App Connectivity,Silver,Mumbai,25-08-2024,6,14378.19,,161,Crema,At Home Espresso Machines
146,Cafe A-100 Automatic,App Connectivity,Green,Mumbai,28-05-2025,0,40097.48,BrewSupply Pvt Ltd,329,Cafe,Commercial Coffee Makers
147,Barista Lite,App Connectivity,Blue,DELHI,17-05-2023,-3,44575.23,CoffeeTech Supplies,393,Barista,At Home Coffee Makers
148,Barista Lite,App Connectivity,Red,DELHI,08-02-2025,1,24749.17,Contoso Distributors,26,Barista,Commercial Coffee Makers
149,Cafe A-100 Automatic,App Connectivity,White,Hyderabad,20-08-2025,5,11037.23,BeanWorld India,66,Cafe,At Home Coffee Makers
150,Barista Lite,App Connectivity,Green,Delhi,18-05-2024,3,41336.17,,367,Barista,At Home Espresso Machines
151,Crema Café,App Connectivity,Silver,Bangalore,19-08-2024,3,21566.17,Aroma Imports,158,Crema,Commercial Espresso Machines
152,Precision Brew 100,Auto-Brew,Red,Bangalore,10-08-2024,3,38502.89,Aroma Imports,320,Precision Brew,At Home Espresso Machines
153,Smart Brew 300,Auto-Brew,Red,Bangalore,21-07-2024,1,14043.42,Contoso Distributors,8,Smart Brew,Commercial Espresso Machines
154,Barista Lite,App Connectivity,Green,Delhi,05-04-2025,16,15152.21,,241,Barista,At Home Coffee Makers
155,Cafe A-100 Automatic,App Connectivity,Green,Delhi,10-12-2023,5,12487.85,BrewSupply Pvt Ltd,57,Cafe,At Home Espresso Machines
156,Precision Brew 100,Auto-Brew,White,Mumbai,03-02-2023,-5,19973.67,Contoso Distributors,278,Precision Brew,At Home Coffee Makers
157,AutoDrip,Auto-Brew,Green,DELHI,19-03-2024,4,44798.7,CoffeeTech Supplies,322,AutoDrip,At Home Coffee Makers
158,Barista Lite,App Connectivity,Black,Pune,10-10-2025,1,33304.52,CoffeeTech Supplies,310,Barista,At Home Espresso Machines
159,Travel Brew 100,Auto-Brew,Red,DELHI,13-12-2023,-4,8678.65,Contoso Distributors,374,Travel Brew,At Home Coffee Makers
160,AutoDrip,Auto-Brew,White,Bangalore,09-11-2024,8,16804.92,BeanWorld India,216,AutoDrip,Commercial Espresso Machines
161,Cafe A-100 Automatic,App Connectivity,Red,Bangalore,04-03-2025,4,12795.55,BrewSupply Pvt Ltd,112,Cafe,Commercial Coffee Makers
162,Precision Brew 100,Auto-Brew,White,Delhi,05-06-2024,2,27370.85,BrewSupply Pvt Ltd,494,Precision Brew,Commercial Espresso Machines
163,Precision Brew 100,Auto-Brew,Silver,Pune,24-07-2025,8,48358.85,BeanWorld India,496,Precision Brew,At Home Coffee Makers
164,Crema Café,App Connectivity,Red,DELHI,10-08-2023,9,8968.63,CoffeeTech Supplies,425,Crema,Commercial Coffee Makers
165,AutoDrip,Auto-Brew,Green,Hyderabad,30-11-2024,4,29804.16,Contoso Distributors,315,AutoDrip,Commercial Espresso Machines
166,Airpot XL,Auto-Brew,Green,delhi,23-05-2023,8,20084.65,BeanWorld India,421,Airpot,Commercial Espresso Machines
167,Cafe S-200 Semi-Automatic,App Connectivity,Blue,Pune,06-07-2024,1,13556.27,BrewSupply Pvt Ltd,450,Cafe,At Home Coffee Makers
168,QuickPot,Auto-Brew,White,Mumbai,26-09-2024,16,29227.53,,259,QuickPot,Commercial Espresso Machines
169,QuickPot,Auto-Brew,Silver,Mumbai,08-07-2024,13,24441.09,BrewSupply Pvt Ltd,478,QuickPot,Commercial Espresso Machines
170,Smart Brew 300,Auto-Brew,Black,DELHI,17-01-2023,3,17643.95,BeanWorld India,23,Smart Brew,Commercial Espresso Machines
171,Smart Brew 300,Auto-Brew,Black,Hyderabad,25-12-2023,-1,37887.31,Aroma Imports,225,Smart Brew,At Home Espresso Machines
172,Crema Café,App Connectivity,White,Hyderabad,24-03-2024,4,26128.14,Aroma Imports,121,Crema,Commercial Espresso Machines
173,Smart Brew 300,Auto-Brew,Silver,Bangalore,20-01-2024,11,20649.07,BeanWorld India,285,Smart Brew,At Home Espresso Machines
174,Airpot XL,Auto-Brew,Red,DELHI,05-08-2024,-2,19684.23,BrewSupply Pvt Ltd,226,Airpot,Commercial Espresso Machines
175,Barista Lite,App Connectivity,Silver,Bangalore,29-06-2024,15,8568.07,BrewSupply Pvt Ltd,381,Barista,Commercial Espresso Machines
176,QuickPot,Auto-Brew,Silver,Delhi,23-04-2023,4,24483.73,Contoso Distributors,109,QuickPot,At Home Espresso Machines
177,Airpot XL,Auto-Brew,Black,DELHI,06-05-2025,3,49905.02,Contoso Distributors,82,Airpot,Commercial Coffee Makers
178,QuickPot,Auto-Brew,Black,Mumbai,07-01-2024,1,28713.54,BeanWorld India,422,QuickPot,Commercial Coffee Makers
179,Travel Brew 100,Auto-Brew,Silver,Pune,01-07-2023,-3,19157.18,BeanWorld India,395,Travel Brew,Commercial Coffee Makers
180,Cafe A-100 Automatic,App Connectivity,Black,DELHI,06-02-2025,2,44577.62,Aroma Imports,332,Cafe,Commercial Coffee Makers
181,Cafe S-200 Semi-Automatic,App Connectivity,Green,Pune,08-12-2025,0,23548.78,,201,Cafe,Commercial Espresso Machines
182,Cafe A-100 Automatic,App Connectivity,Blue,Delhi,19-01-2023,14,17468.63,,307,Cafe,At Home Espresso Machines
183,Smart Brew 300,Auto-Brew,Red,Pune,02-01-2024,13,6269.73,BeanWorld India,396,Smart Brew,At Home Coffee Makers
184,Precision Brew 100,Auto-Brew,Blue,Mumbai,23-03-2024,-5,15381.03,CoffeeTech Supplies,23,Precision Brew,At Home Espresso Machines
185,QuickPot,Auto-Brew,Silver,Delhi,30-01-2023,3,40287.87,,84,QuickPot,At Home Coffee Makers
186,Cafe A-100 Automatic,App Connectivity,Black,Hyderabad,13-04-2024,2,43127.77,,151,Cafe,Commercial Espresso Machines
187,Precision Brew 100,Auto-Brew,Blue,Bangalore,27-12-2024,20,25956.63,,152,Precision Brew,Commercial Coffee Makers
188,Airpot XL,Auto-Brew,Blue,delhi,28-02-2024,15,26305.67,CoffeeTech Supplies,466,Airpot,Commercial Espresso Machines
189,Cafe A-100 Automatic,App Connectivity,White,delhi,27-01-2023,3,40462.91,BeanWorld India,366,Cafe,At Home Coffee Makers
190,QuickPot,Auto-Brew,Green,DELHI,16-01-2024,3,39210.78,BrewSupply Pvt Ltd,76,QuickPot,Commercial Espresso Machines
191,Airpot XL,Auto-Brew,Green,Bangalore,19-07-2024,1,28346.05,CoffeeTech Supplies,170,Airpot,At Home Coffee Makers
192,Crema Café,App Connectivity,Black,Bangalore,09-05-2024,11,23786.22,Contoso Distributors,362,Crema,Commercial Coffee Makers
193,Precision Brew 100,Auto-Brew,Green,Bangalore,13-03-2025,-5,30362.86,,121,Precision Brew,Commercial Espresso Machines
194,Travel Brew 100,Auto-Brew,Blue,Bangalore,27-01-2025,5,18335.6,Aroma Imports,279,Travel Brew,At Home Coffee Makers
195,Travel Brew 100,Auto-Brew,White,DELHI,11-11-2023,10,33508.59,CoffeeTech Supplies,302,Travel Brew,At Home Espresso Machines
196,Airpot XL,Auto-Brew,Silver,Delhi,06-03-2023,14,23276.52,BrewSupply Pvt Ltd,179,Airpot,Commercial Coffee Makers
197,Crema Café,App Connectivity,Silver,Hyderabad,19-06-2023,12,37887.77,BrewSupply Pvt Ltd,19,Crema,Commercial Coffee Makers
198,QuickPot,Auto-Brew,White,Bangalore,24-05-2024,1,8638.43,Aroma Imports,423,QuickPot,At Home Espresso Machines
199,Cafe A-100 Automatic,App Connectivity,Black,DELHI,15-02-2025,2,30985.35,BrewSupply Pvt Ltd,392,Cafe,Commercial Coffee Makers
200,Cafe A-100 Automatic,App Connectivity,Black,delhi,08-07-2024,5,13668.82,Aroma Imports,446,Cafe,At Home Coffee Makers
201,Cafe S-200 Semi-Automatic,App Connectivity,Silver,DELHI,29-09-2024,7,32552.17,,372,Cafe,At Home Coffee Makers
